instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange,norm_tradingsymbol
1793,7,AARTIIND,AARTI INDUSTRIES,0.0,,0.0,0.05,1,EQ,NSE,NSE,AARTIIND
3329,13,ABB,ABB INDIA,0.0,,0.0,0.5,1,EQ,NSE,NSE,ABB
5633,22,ACC,ACC,0.0,,0.0,0.1,1,EQ,NSE,NSE,ACC
6401,25,ADANIENT,ADANI ENTERPRISES,0.0,,0.0,0.1,1,EQ,NSE,NSE,ADANIENT
10241,40,AEGISLOG,AEGIS LOGISTICS,0.0,,0.0,0.05,1,EQ,NSE,NSE,AEGISLOG
12289,48,HAPPSTMNDS,HAPPIEST MINDS TECHNO,0.0,,0.0,0.05,1,EQ,NSE,NSE,HAPPSTMNDS
25601,100,ARE&M,AMARA RAJA ENERGY MOB,0.0,,0.0,0.1,1,EQ,NSE,NSE,AREM
36865,144,GODREJAGRO,GODREJ AGROVET,0.0,,0.0,0.05,1,EQ,NSE,NSE,GODREJAGRO
40193,157,APOLLOHOSP,APOLLO HOSPITALS ENTER. L,0.0,,0.0,0.5,1,EQ,NSE,NSE,APOLLOHOSP
41729,163,APOLLOTYRE,APOLLO TYRES,0.0,,0.0,0.05,1,EQ,NSE,NSE,APOLLOTYRE
54273,212,ASHOKLEY,ASHOK LEYLAND,0.0,,0.0,0.01,1,EQ,NSE,NSE,ASHOKLEY
56321,220,IEX,INDIAN ENERGY EXC,0.0,,0.0,0.01,1,EQ,NSE,NSE,IEX
60417,236,ASIANPAINT,ASIAN PAINTS,0.0,,0.0,0.1,1,EQ,NSE,NSE,ASIANPAINT
67329,263,ATUL,ATUL,0.0,,0.0,0.5,1,EQ,NSE,NSE,ATUL
70401,275,AUROPHARMA,AUROBINDO PHARMA,0.0,,0.0,0.1,1,EQ,NSE,NSE,AUROPHARMA
70913,277,GICRE,GENERAL INS CORP OF INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,GICRE
78081,305,BAJAJHLDNG,BAJAJ HOLDINGS & INVS,0.0,,0.0,1.0,1,EQ,NSE,NSE,BAJAJHLDNG
79873,312,TIINDIA,TUBE INVEST OF INDIA,0.0,,0.0,0.1,1,EQ,NSE,NSE,TIINDIA
81153,317,BAJFINANCE,BAJAJ FINANCE,0.0,,0.0,0.1,1,EQ,NSE,NSE,BAJFINANCE
82945,324,ANGELONE,ANGEL ONE,0.0,,0.0,0.1,1,EQ,NSE,NSE,ANGELONE
85761,335,BALKRISIND,BALKRISHNA IND.,0.0,,0.0,0.1,1,EQ,NSE,NSE,BALKRISIND
87297,341,BALRAMCHIN,BALRAMPUR CHINI MILLS,0.0,,0.0,0.05,1,EQ,NSE,NSE,BALRAMCHIN
87553,342,CAMS,COMPUTER AGE MNGT SER,0.0,,0.0,0.1,1,EQ,NSE,NSE,CAMS
91393,357,NAM-INDIA,NIPPON L I A M,0.0,,0.0,0.05,1,EQ,NSE,NSE,NAMINDIA
94209,368,BASF,BASF INDIA,0.0,,0.0,0.1,1,EQ,NSE,NSE,BASF
94977,371,BATAINDIA,BATA INDIA,0.0,,0.0,0.1,1,EQ,NSE,NSE,BATAINDIA
97281,380,BBTC,BOMBAY BURMAH TRADING COR,0.0,,0.0,0.1,1,EQ,NSE,NSE,BBTC
98049,383,BEL,BHARAT ELECTRONICS,0.0,,0.0,0.05,1,EQ,NSE,NSE,BEL
101121,395,BEML,BEML,0.0,,0.0,0.1,1,EQ,NSE,NSE,BEML
102145,399,NIACL,THE NEW INDIA ASSU CO,0.0,,0.0,0.01,1,EQ,NSE,NSE,NIACL
103425,404,BERGEPAINT,BERGER PAINTS (I),0.0,,0.0,0.05,1,EQ,NSE,NSE,BERGEPAINT
108033,422,BHARATFORG,BHARAT FORGE,0.0,,0.0,0.1,1,EQ,NSE,NSE,BHARATFORG
112129,438,BHEL,BHEL,0.0,,0.0,0.05,1,EQ,NSE,NSE,BHEL
119553,467,HDFCLIFE,HDFC LIFE INS CO,0.0,,0.0,0.05,1,EQ,NSE,NSE,HDFCLIFE
121345,474,3MINDIA,3M INDIA,0.0,,0.0,5.0,1,EQ,NSE,NSE,3MINDIA
126721,495,BLUEDART,BLUE DART EXPRESS,0.0,,0.0,0.5,1,EQ,NSE,NSE,BLUEDART
130305,509,MAZDOCK,MAZAGON DOCK SHIPBUIL,0.0,,0.0,0.1,1,EQ,NSE,NSE,MAZDOCK
134657,526,BPCL,BHARAT PETROLEUM CORP  LT,0.0,,0.0,0.05,1,EQ,NSE,NSE,BPCL
134913,527,UTIAMC,UTI ASSET MNGMT CO,0.0,,0.0,0.1,1,EQ,NSE,NSE,UTIAMC
